bank_id,date,amount,description,company,reference,ledger_id
B00340,2026-05-23,31625.02,PAYMENT TRAILMARK EQUIPMENT RENTAL REF INV-92050,Trailmark Equipment Rental,INV-92050,BANK-0028
B00123,2026-06-11,45024.03,PAYMENT IVY & OAK PRINT SHOP REF INV-89129,Ivy & Oak Print Shop,INV-89129,BANK-0029
B00815,2026-07-05,8824.12,WIRE RECEIVED HARBOR STATE INSURANCE REF INV-90225,Harbor State Insurance,INV-90225,BANK-0030
B00031,2026-05-13,159.35,PAYMENT HOLLOW CREEK FARMS REF INV-96374,Hollow Creek Farms,INV-96374,BANK-0031
B00616,2026-07-11,32724.9,PAYMENT CEDAR & VINE SUPPLY CO REF INV-39400,Cedar & Vine Supply Co,INV-39400,BANK-0032
B00955,2026-06-11,47.3,PARTIAL PMT DRIFTWOOD CAFÉ GROUP REF INV-39855,Driftwood Café Group,INV-39855,BANK-0033
B00287,2026-07-11,935.07,PAYMENT HARBOR STATE INSURANCE REF INV-57920,Harbor State Insurance,INV-57920,BANK-0034
B00343,2026-06-29,158.44,PAYMENT HOLLOW CREEK FARMS REF INV-17552,Hollow Creek Farms,INV-17552,BANK-0035
B00722,2026-07-28,3382.61,PAYMENT JUNCTION ANALYTICS REF INV-19351,Junction Analytics,INV-19351,BANK-0036
B00101,2026-06-13,1318.28,PAYMENT IVY & OAK PRINT SHOP REF INV-46655,Ivy & Oak Print Shop,INV-46655,BANK-0037
B00477,2026-05-04,281.06,PAYMENT COBALT FREIGHT LINES REF INV-63004,Cobalt Freight Lines,INV-63004,BANK-0038
B00397,2026-07-28,39755.4,PAYMENT OAKSTONE REALTY HOLDINGS REF INV-75597,Oakstone Realty Holdings,INV-75597,BANK-0039
B00418,2026-05-16,2068.6,PAYMENT CEDAR & VINE SUPPLY CO REF INV-41056,Cedar & Vine Supply Co,INV-41056,BANK-0040
B00334,2026-07-24,134.82,PAYMENT RIVERBEND HARDWARE REF INV-64950,Riverbend Hardware,INV-64950,BANK-0041
B00917,2026-06-08,6812.37,PARTIAL PMT HARBOR STATE INSURANCE REF INV-62509,Harbor State Insurance,INV-62509,BANK-0042
B00141,2026-06-12,27603.1,PAYMENT JUNCTION ANALYTICS REF INV-23154,Junction Analytics,INV-23154,BANK-0043
B00683,2026-06-22,2187.63,PAYMENT HARBOR STATE INSURANCE REF INV-57483,Harbor State Insurance,INV-57483,BANK-0044
B00356,2026-07-07,462.6,PAYMENT LUMEN ENERGY SERVICES REF INV-14433,Lumen Energy Services,INV-14433,BANK-0045
B00003,2026-06-23,34244.8,PAYMENT PRAIRIE WIND ENERGY REF INV-38893,Prairie Wind Energy,INV-38893,BANK-0046
B00956,2026-06-14,92.14,PARTIAL PMT DRIFTWOOD CAFÉ GROUP REF INV-39855,Driftwood Café Group,INV-39855,BANK-0047
B00234,2026-05-04,218.28,PAYMENT JASPER METALS CORP REF INV-51770,Jasper Metals Corp,INV-51770,BANK-0048
B00620,2026-05-25,32152.41,PAYMENT YELLOWBRICK MEDIA REF INV-48558,Yellowbrick Media,INV-48558,BANK-0049
B00369,2026-06-20,11488.62,PAYMENT UMBRA DIGITAL STUDIO REF INV-20084,Umbra Digital Studio,INV-20084,BANK-0050
B00550,2026-06-21,7554.86,PAYMENT JUNCTION ANALYTICS REF INV-96577,Junction Analytics,INV-96577,BANK-0051
B00471,2026-05-31,316.35,PAYMENT EVERLINE MANUFACTURING REF INV-48230,Everline Manufacturing,INV-48230,BANK-0052
B00416,2026-07-09,1013.93,PAYMENT JASPER METALS CORP REF INV-15453,Jasper Metals Corp,INV-15453,BANK-0053
B00389,2026-06-29,6211.22,PAYMENT LAKESIDE PROPERTY MGMT REF INV-37479,Lakeside Property Mgmt,INV-37479,BANK-0054
B00353,2026-06-01,15350.84,PAYMENT DRIFTWOOD CAFÉ GROUP REF INV-75444,Driftwood Café Group,INV-75444,BANK-0055
B00374,2026-07-14,24433.16,PAYMENT OAKSTONE REALTY HOLDINGS REF INV-96595,Oakstone Realty Holdings,INV-96595,BANK-0056
B00312,2026-06-29,11039.0,PAYMENT LAKESIDE PROPERTY MGMT REF INV-45761,Lakeside Property Mgmt,INV-45761,BANK-0057
B00170,2026-06-17,9470.96,PAYMENT FOXGLOVE DESIGN CO REF INV-81364,Foxglove Design Co,INV-81364,BANK-0058
B00549,2026-06-08,36999.22,PAYMENT UMBRA DIGITAL STUDIO REF INV-34688,Umbra Digital Studio,INV-34688,BANK-0059
B00711,2026-07-17,537.88,PAYMENT GLACIER POINT BANK REF INV-52655,Glacier Point Bank,INV-52655,BANK-0060
B00233,2026-05-07,4480.83,PAYMENT OAKSTONE REALTY HOLDINGS REF INV-61964,Oakstone Realty Holdings,INV-61964,BANK-0061
B01011,2026-06-08,2885.75,PAYMENT ORCHARD GROVE BAKERY REF INV-84350,Orchard Grove Bakery,INV-84350,BANK-0062
B00783,2026-07-25,19433.23,PAYMENT DRIFTWOOD CAFÉ GROUP REF INV-49953,Driftwood Café Group,INV-49953,BANK-0063
B00629,2026-06-01,32616.55,PAYMENT WESTGATE FACILITIES MGMT REF INV-15226,Westgate Facilities Mgmt,INV-15226,BANK-0064
B00410,2026-07-28,26900.16,PAYMENT IRONWOOD MATERIALS REF INV-94575,Ironwood Materials,INV-94575,BANK-0065
B00065,2026-07-19,814.88,PAYMENT MERIDIAN SOFTWARE INC REF INV-51145,Meridian Software Inc,INV-51145,BANK-0066
B00018,2026-05-15,47409.39,PAYMENT KINGFISHER CABLE CO REF INV-99353,Kingfisher Cable Co,INV-99353,BANK-0067
B00420,2026-05-08,124.69,PAYMENT EMBERLINE FOODS REF INV-84720,Emberline Foods,INV-84720,BANK-0068
B00518,2026-05-08,42668.54,PAYMENT QUORUM LEGAL ADVISORS REF INV-29808,Quorum Legal Advisors,INV-29808,BANK-0069
B00778,2026-07-26,3531.36,PAYMENT OAKSTONE REALTY HOLDINGS REF INV-21807,Oakstone Realty Holdings,INV-21807,BANK-0070
B00498,2026-07-21,1114.03,PAYMENT VANTERRA CHEMICALS REF INV-73858,Vanterra Chemicals,INV-73858,BANK-0071
B00058,2026-05-29,986.43,PAYMENT KESTREL MARKETING GROUP REF INV-36158,Kestrel Marketing Group,INV-36158,BANK-0072
B00999,2026-07-28,21566.56,PAYMENT LAKESIDE PROPERTY MGMT REF INV-18601,Lakeside Property Mgmt,INV-18601,BANK-0073
B00105,2026-07-10,24147.67,PAYMENT YELLOWBRICK MEDIA REF INV-53357,Yellowbrick Media,INV-53357,BANK-0074
B00449,2026-07-08,23102.48,PAYMENT JASPER METALS CORP REF INV-80471,Jasper Metals Corp,INV-80471,BANK-0075
B00522,2026-05-19,35489.07,PAYMENT NIGHTSHADE SECURITY REF INV-25765,Nightshade Security,INV-25765,BANK-0076
B00607,2026-07-17,1948.3,PAYMENT PRAIRIE WIND ENERGY REF INV-42537,Prairie Wind Energy,INV-42537,BANK-0077
B00983,2026-07-07,818.14,PAYMENT AURORA TEXTILES LTD REF INV-14287,Aurora Textiles Ltd,INV-14287,BANK-0078
B00798,2026-05-18,31117.98,WIRE RECEIVED LAKESIDE PROPERTY MGMT REF INV-50501,Lakeside Property Mgmt,INV-50501,BANK-0079
B00876,2026-06-15,26102.52,WIRE RECEIVED AURORA TEXTILES LTD REF INV-48616,Aurora Textiles Ltd,INV-48616,BANK-0080
B00890,2026-06-27,1237.37,PARTIAL PMT HOLLOW CREEK FARMS REF INV-60070,Hollow Creek Farms,INV-60070,BANK-0081
B00001,2026-05-14,15044.48,PAYMENT HARBOR STATE INSURANCE REF INV-98696,Harbor State Insurance,INV-98696,BANK-0082
B00094,2026-07-29,84.2,PAYMENT MERIDIAN SOFTWARE INC REF INV-49529,Meridian Software Inc,INV-49529,BANK-0083
B01036,2026-05-21,3798.31,PAYMENT HARBOR STATE INSURANCE REF IN,,,BANK-0084
B00725,2026-07-30,125.29,PAYMENT DRIFTWOOD CAFÉ GROUP REF INV-20494,Driftwood Café Group,INV-20494,BANK-0085
B01010,2026-06-11,20425.66,PAYMENT KINGFISHER CABLE CO REF INV-73720 (DUP),Kingfisher Cable Co,INV-73720,BANK-0086
B00696,2026-07-30,351.35,PAYMENT WESTGATE FACILITIES MGMT REF INV-18993,Westgate Facilities Mgmt,INV-18993,BANK-0087
B00007,2026-07-19,29841.83,PAYMENT HARBOR STATE INSURANCE REF INV-57400,Harbor State Insurance,INV-57400,BANK-0088
B00326,2026-07-26,2555.59,PAYMENT IRONWOOD MATERIALS REF INV-50392,Ironwood Materials,INV-50392,BANK-0089
B00257,2026-06-17,1190.47,PAYMENT NIGHTSHADE SECURITY REF INV-68188,Nightshade Security,INV-68188,BANK-0090
B00861,2026-05-19,44898.05,WIRE RECEIVED DELTA FREIGHT PARTNERS REF INV-96623,Delta Freight Partners,INV-96623,BANK-0091
B00935,2026-05-28,1922.44,PARTIAL PMT UMBRA DIGITAL STUDIO REF INV-15975,Umbra Digital Studio,INV-15975,BANK-0092
B00915,2026-07-09,74.19,PARTIAL PMT HOLLOW CREEK FARMS REF INV-39602,Hollow Creek Farms,INV-39602,BANK-0093
B00339,2026-05-29,49356.3,PAYMENT UMBRA DIGITAL STUDIO REF INV-64206,Umbra Digital Studio,INV-64206,BANK-0094
B00143,2026-07-28,16926.03,PAYMENT JUNCTION ANALYTICS REF INV-62098,Junction Analytics,INV-62098,BANK-0095
B00039,2026-07-09,7631.75,PAYMENT JUNCTION ANALYTICS REF INV-17989,Junction Analytics,INV-17989,BANK-0096
B00414,2026-05-05,638.87,PAYMENT KESTREL MARKETING GROUP REF INV-46025,Kestrel Marketing Group,INV-46025,BANK-0097
B00040,2026-05-21,27628.27,PAYMENT UMBRA DIGITAL STUDIO REF INV-17455,Umbra Digital Studio,INV-17455,BANK-0098
B00495,2026-06-13,50.31,PAYMENT HOLLOW CREEK FARMS REF INV-33260,Hollow Creek Farms,INV-33260,BANK-0099
B01040,2026-05-14,217.86,PAYMENT SOLACE HEALTH SYSTEMS REF INV-3,,,BANK-0100
B00739,2026-06-08,599.59,PAYMENT DELTA FREIGHT PARTNERS REF INV-67464,Delta Freight Partners,INV-67464,BANK-0101
B00195,2026-05-07,12083.45,PAYMENT PRAIRIE WIND ENERGY REF INV-98338,Prairie Wind Energy,INV-98338,BANK-0102
B00211,2026-06-17,278.3,PAYMENT WESTGATE FACILITIES MGMT REF INV-47627,Westgate Facilities Mgmt,INV-47627,BANK-0103
B00157,2026-06-26,4565.32,PAYMENT IRONWOOD MATERIALS REF INV-14373,Ironwood Materials,INV-14373,BANK-0104
B00074,2026-06-24,229.84,PAYMENT IVY & OAK PRINT SHOP REF INV-38683,Ivy & Oak Print Shop,INV-38683,BANK-0105
B00528,2026-05-13,46621.77,PAYMENT ORCHARD GROVE BAKERY REF INV-47498,Orchard Grove Bakery,INV-47498,BANK-0106
B00112,2026-06-21,163.62,PAYMENT DELTA FREIGHT PARTNERS REF INV-74454,Delta Freight Partners,INV-74454,BANK-0107
B00556,2026-06-12,1504.98,PAYMENT FENWICK OFFICE SOLUTIONS REF INV-58717,Fenwick Office Solutions,INV-58717,BANK-0108
B00610,2026-07-27,1404.0,PAYMENT MARROW FITNESS STUDIOS REF INV-55258,Marrow Fitness Studios,INV-55258,BANK-0109
B00110,2026-07-21,488.43,PAYMENT CEDAR & VINE SUPPLY CO REF INV-74340,Cedar & Vine Supply Co,INV-74340,BANK-0110
B00203,2026-07-19,180.28,PAYMENT DRIFTWOOD CAFÉ GROUP REF INV-70305,Driftwood Café Group,INV-70305,BANK-0111
B00180,2026-06-11,270.62,PAYMENT GRANITE POINT CONSULTING REF INV-89730,Granite Point Consulting,INV-89730,BANK-0112
B00048,2026-05-18,350.54,PAYMENT AURORA TEXTILES LTD REF INV-44664,Aurora Textiles Ltd,INV-44664,BANK-0113
B00072,2026-06-30,151.09,PAYMENT TRAILMARK EQUIPMENT RENTAL REF INV-90120,Trailmark Equipment Rental,INV-90120,BANK-0114
B00154,2026-07-27,17351.62,PAYMENT BLUEPEAK LOGISTICS REF INV-16428,Bluepeak Logistics,INV-16428,BANK-0115
B00515,2026-06-30,93.64,PAYMENT MERIDIAN SOFTWARE INC REF INV-25139,Meridian Software Inc,INV-25139,BANK-0116
B00407,2026-07-19,3141.52,PAYMENT ZENITH INDUSTRIAL SUPPLY REF INV-32613,Zenith Industrial Supply,INV-32613,BANK-0117
B00181,2026-06-11,33488.45,PAYMENT JUNCTION ANALYTICS REF INV-59925,Junction Analytics,INV-59925,BANK-0118
B00385,2026-05-18,43677.88,PAYMENT FOXGLOVE DESIGN CO REF INV-49378,Foxglove Design Co,INV-49378,BANK-0119
B00028,2026-07-15,151.11,PAYMENT PINEHILL DISTRIBUTORS REF INV-38864,Pinehill Distributors,INV-38864,BANK-0120
B00244,2026-06-12,9664.87,PAYMENT WESTGATE FACILITIES MGMT REF INV-27486,Westgate Facilities Mgmt,INV-27486,BANK-0121
B01019,2026-05-17,49719.79,PAYMENT JUNCTION ANALYTICS REF INV-67788,Junction Analytics,INV-67788,BANK-0122
B01049,2026-05-13,483.92,PAYMENT MERIDIAN SOFTWARE INC ERF INV-38051,,,BANK-0123
B01000,2026-07-28,21566.56,PAYMENT LAKESIDE PROPERTY MGMT REF INV-18601 (DUP),Lakeside Property Mgmt,INV-18601,BANK-0124
B00066,2026-06-11,1851.45,PAYMENT HARBOR STATE INSURANCE REF INV-62743,Harbor State Insurance,INV-62743,BANK-0125
B00587,2026-05-17,6296.73,PAYMENT REDSTONE CONTRACTING REF INV-73318,Redstone Contracting,INV-73318,BANK-0126
B00720,2026-06-13,139.53,PAYMENT PRAIRIE WIND ENERGY REF INV-52610,Prairie Wind Energy,INV-52610,BANK-0127
B00274,2026-06-07,45004.86,PAYMENT DRIFTWOOD CAFÉ GROUP REF INV-94136,Driftwood Café Group,INV-94136,BANK-0128
B00118,2026-06-06,252.73,PAYMENT DRIFTWOOD CAFÉ GROUP REF INV-47056,Driftwood Café Group,INV-47056,BANK-0129
B00591,2026-07-18,22319.45,PAYMENT HOLLOW CREEK FARMS REF INV-17152,Hollow Creek Farms,INV-17152,BANK-0130
B00576,2026-05-26,27398.26,PAYMENT HARBOR STATE INSURANCE REF INV-44471,Harbor State Insurance,INV-44471,BANK-0131
B01022,2026-05-19,1046.71,PAYM KEST MARK GROU REF INV-,,,BANK-0132
B01006,2026-06-30,181.93,PAYMENT BLUEPEAK LOGISTICS REF INV-55442 (DUP),Bluepeak Logistics,INV-55442,BANK-0133
B00594,2026-06-27,25659.26,PAYMENT ZENITH INDUSTRIAL SUPPLY REF INV-21536,Zenith Industrial Supply,INV-21536,BANK-0134
B00869,2026-06-23,322.88,WIRE RECEIVED IVY & OAK PRINT SHOP REF INV-69772,Ivy & Oak Print Shop,INV-69772,BANK-0135
B00294,2026-06-18,33306.14,PAYMENT DELTA FREIGHT PARTNERS REF INV-29369,Delta Freight Partners,INV-29369,BANK-0136
B00790,2026-07-30,3446.41,PAYMENT RIVERBEND HARDWARE REF INV-96898,Riverbend Hardware,INV-96898,BANK-0137
B00399,2026-07-01,40292.15,PAYMENT JUNCTION ANALYTICS REF INV-55652,Junction Analytics,INV-55652,BANK-0138
B00128,2026-05-05,41610.47,PAYMENT IVY & OAK PRINT SHOP REF INV-69614,Ivy & Oak Print Shop,INV-69614,BANK-0139
B00400,2026-06-08,93.93,PAYMENT HOLLOW CREEK FARMS REF INV-15856,Hollow Creek Farms,INV-15856,BANK-0140
B00102,2026-05-11,365.53,PAYMENT PRAIRIE WIND ENERGY REF INV-41635,Prairie Wind Energy,INV-41635,BANK-0141
B00486,2026-07-09,28661.63,PAYMENT DRIFTWOOD CAFÉ GROUP REF INV-12559,Driftwood Café Group,INV-12559,BANK-0142
B00239,2026-07-08,45731.61,PAYMENT REDSTONE CONTRACTING REF INV-12154,Redstone Contracting,INV-12154,BANK-0143
B00614,2026-06-04,61.37,PAYMENT GRANITE POINT CONSULTING REF INV-31094,Granite Point Consulting,INV-31094,BANK-0144
B00804,2026-07-02,400.64,WIRE RECEIVED JASPER METALS CORP REF INV-72108,Jasper Metals Corp,INV-72108,BANK-0145
B00020,2026-05-23,37385.63,PAYMENT GLACIER POINT BANK REF INV-76542,Glacier Point Bank,INV-76542,BANK-0146
B01038,2026-07-16,281.24,PAYMENT EVERLINE MANFUACTURING REF INV-31906,,INV-31906,BANK-0147
B00355,2026-07-09,12616.96,PAYMENT GLACIER POINT BANK REF INV-74004,Glacier Point Bank,INV-74004,BANK-0148
B00961,2026-06-28,768.43,PAYMENT CEDAR & VINE SUPPLY CO REF INV-64817,Cedar & Vine Supply Co,INV-64817,BANK-0149
B00034,2026-06-01,1130.82,PAYMENT MERIDIAN SOFTWARE INC REF INV-19880,Meridian Software Inc,INV-19880,BANK-0150
B00631,2026-06-27,21873.11,PAYMENT BLUEPEAK LOGISTICS REF INV-73806,Bluepeak Logistics,INV-73806,BANK-0151
B00197,2026-07-26,1012.18,PAYMENT NORTHFIELD PACKAGING REF INV-98930,Northfield Packaging,INV-98930,BANK-0152
B00329,2026-07-22,39462.25,PAYMENT SOLACE HEALTH SYSTEMS REF INV-65097,Solace Health Systems,INV-65097,BANK-0153
B00021,2026-05-26,33752.73,PAYMENT GRANITE POINT CONSULTING REF INV-30032,Granite Point Consulting,INV-30032,BANK-0154
B00545,2026-06-05,48516.1,PAYMENT PRAIRIE WIND ENERGY REF INV-65549,Prairie Wind Energy,INV-65549,BANK-0155
B00622,2026-07-14,68.29,PAYMENT ZENITH INDUSTRIAL SUPPLY REF INV-43425,Zenith Industrial Supply,INV-43425,BANK-0156
B00038,2026-07-24,49794.02,PAYMENT SOLACE HEALTH SYSTEMS REF INV-73788,Solace Health Systems,INV-73788,BANK-0157
B00402,2026-05-30,1989.45,PAYMENT LUMEN ENERGY SERVICES REF INV-63090,Lumen Energy Services,INV-63090,BANK-0158
B00772,2026-06-19,3072.25,PAYMENT MARROW FITNESS STUDIOS REF INV-28141,Marrow Fitness Studios,INV-28141,BANK-0159
B00601,2026-06-22,41982.74,PAYMENT CEDAR & VINE SUPPLY CO REF INV-24019,Cedar & Vine Supply Co,INV-24019,BANK-0160
B00641,2026-06-07,22594.67,PAYMENT KESTREL MARKETING GROUP REF INV-93105,Kestrel Marketing Group,INV-93105,BANK-0161
B00388,2026-05-26,10124.95,PAYMENT RIVERBEND HARDWARE REF INV-87624,Riverbend Hardware,INV-87624,BANK-0162
B00362,2026-06-04,1363.69,PAYMENT KINGFISHER CABLE CO REF INV-62022,Kingfisher Cable Co,INV-62022,BANK-0163
B00557,2026-07-21,313.51,PAYMENT QUORUM LEGAL ADVISORS REF INV-86490,Quorum Legal Advisors,INV-86490,BANK-0164
B00468,2026-05-19,288.42,PAYMENT NORTHFIELD PACKAGING REF INV-46677,Northfield Packaging,INV-46677,BANK-0165
B00064,2026-07-27,46650.88,PAYMENT CEDAR & VINE SUPPLY CO REF INV-97900,Cedar & Vine Supply Co,INV-97900,BANK-0166
B00770,2026-05-07,3180.93,PAYMENT CEDAR & VINE SUPPLY CO REF INV-39083,Cedar & Vine Supply Co,INV-39083,BANK-0167
B00562,2026-07-13,52.12,PAYMENT DELTA FREIGHT PARTNERS REF INV-30766,Delta Freight Partners,INV-30766,BANK-0168
B00277,2026-06-21,1936.92,PAYMENT UMBRA DIGITAL STUDIO REF INV-27139,Umbra Digital Studio,INV-27139,BANK-0169
B00304,2026-06-04,46986.08,PAYMENT NORTHFIELD PACKAGING REF INV-27992,Northfield Packaging,INV-27992,BANK-0170
B00543,2026-07-27,354.96,PAYMENT OAKSTONE REALTY HOLDINGS REF INV-11166,Oakstone Realty Holdings,INV-11166,BANK-0171
B00582,2026-05-02,241.7,PAYMENT UMBRA DIGITAL STUDIO REF INV-28139,Umbra Digital Studio,INV-28139,BANK-0172
B00773,2026-05-20,3119.7,PAYMENT QUORUM LEGAL ADVISORS REF INV-84588,Quorum Legal Advisors,INV-84588,BANK-0173
B00426,2026-06-28,3874.11,PAYMENT FENWICK OFFICE SOLUTIONS REF INV-73968,Fenwick Office Solutions,INV-73968,BANK-0174
B00578,2026-05-01,459.66,PAYMENT IVY & OAK PRINT SHOP REF INV-11671,Ivy & Oak Print Shop,INV-11671,BANK-0175
B00584,2026-06-19,2303.5,PAYMENT VANTERRA CHEMICALS REF INV-72684,Vanterra Chemicals,INV-72684,BANK-0176
B00467,2026-06-09,43205.27,PAYMENT VANTERRA CHEMICALS REF INV-23624,Vanterra Chemicals,INV-23624,BANK-0177
B00494,2026-05-03,270.7,PAYMENT LUMEN ENERGY SERVICES REF INV-79002,Lumen Energy Services,INV-79002,BANK-0178
B00386,2026-06-20,321.45,PAYMENT UMBRA DIGITAL STUDIO REF INV-51830,Umbra Digital Studio,INV-51830,BANK-0179
B00452,2026-06-01,364.4,PAYMENT TRAILMARK EQUIPMENT RENTAL REF INV-21300,Trailmark Equipment Rental,INV-21300,BANK-0180
B00721,2026-07-24,3814.37,PAYMENT JASPER METALS CORP REF INV-70784,Jasper Metals Corp,INV-70784,BANK-0181
B00874,2026-07-24,4481.81,WIRE RECEIVED KINGFISHER CABLE CO REF INV-97650,Kingfisher Cable Co,INV-97650,BANK-0182
B00640,2026-05-04,22163.61,PAYMENT FENWICK OFFICE SOLUTIONS REF INV-72126,Fenwick Office Solutions,INV-72126,BANK-0183
B00002,2026-05-30,89.12,PAYMENT LAKESIDE PROPERTY MGMT REF INV-76237,Lakeside Property Mgmt,INV-76237,BANK-0184
B00302,2026-06-07,220.86,PAYMENT LAKESIDE PROPERTY MGMT REF INV-15513,Lakeside Property Mgmt,INV-15513,BANK-0185
B00077,2026-06-27,27715.02,PAYMENT FOXGLOVE DESIGN CO REF INV-30861,Foxglove Design Co,INV-30861,BANK-0186
B00697,2026-06-14,30160.12,PAYMENT FENWICK OFFICE SOLUTIONS REF INV-55544,Fenwick Office Solutions,INV-55544,BANK-0187
B00456,2026-07-13,2431.96,PAYMENT BLUEPEAK LOGISTICS REF INV-92251,Bluepeak Logistics,INV-92251,BANK-0188
B00401,2026-06-01,60.16,PAYMENT HARBOR STATE INSURANCE REF INV-77632,Harbor State Insurance,INV-77632,BANK-0189
B00013,2026-06-10,47430.94,PAYMENT COBALT FREIGHT LINES REF INV-37869,Cobalt Freight Lines,INV-37869,BANK-0190
B00742,2026-06-20,1317.22,PAYMENT EVERLINE MANUFACTURING REF INV-25985,Everline Manufacturing,INV-25985,BANK-0191
B00091,2026-05-28,35125.65,PAYMENT REDSTONE CONTRACTING REF INV-70952,Redstone Contracting,INV-70952,BANK-0192
B00396,2026-07-14,38608.39,PAYMENT AURORA TEXTILES LTD REF INV-85397,Aurora Textiles Ltd,INV-85397,BANK-0193
B00558,2026-05-16,45024.17,PAYMENT ORCHARD GROVE BAKERY REF INV-99220,Orchard Grove Bakery,INV-99220,BANK-0194
B00891,2026-07-18,2167.04,PARTIAL PMT GRANITE POINT CONSULTING REF INV-95467,Granite Point Consulting,INV-95467,BANK-0195
B00885,2026-05-07,508.32,PARTIAL PMT FOXGLOVE DESIGN CO REF INV-94182,Foxglove Design Co,INV-94182,BANK-0196
B00282,2026-06-06,485.01,PAYMENT GLACIER POINT BANK REF INV-74866,Glacier Point Bank,INV-74866,BANK-0197
B00709,2026-07-15,176.12,PAYMENT JASPER METALS CORP REF INV-72694,Jasper Metals Corp,INV-72694,BANK-0198
B00922,2026-07-23,175.54,PARTIAL PMT ZENITH INDUSTRIAL SUPPLY REF INV-57089,Zenith Industrial Supply,INV-57089,BANK-0199
B00130,2026-07-03,28329.77,PAYMENT LAKESIDE PROPERTY MGMT REF INV-91973,Lakeside Property Mgmt,INV-91973,BANK-0200
B00535,2026-07-06,4610.45,PAYMENT MERIDIAN SOFTWARE INC REF INV-59009,Meridian Software Inc,INV-59009,BANK-0201
B00229,2026-07-04,2577.56,PAYMENT NIGHTSHADE SECURITY REF INV-79135,Nightshade Security,INV-79135,BANK-0202
B00285,2026-05-10,3028.18,PAYMENT COBALT FREIGHT LINES REF INV-60639,Cobalt Freight Lines,INV-60639,BANK-0203
