ledger_id,date,amount,company,reference,status,bank_id,description
L00981,2026-06-14,2426.67,Vanterra Chemicals,INV-17398,open,LEDGER-0034,INV-17398
L00763,2026-05-13,14715.5,Everline Manufacturing,INV-40279,paid,LEDGER-0035,INV-40279
L00376,2026-06-19,33525.54,Riverbend Hardware,INV-51507,paid,LEDGER-0036,INV-51507
L00640,2026-05-04,22163.61,Fenwick Office Solutions,INV-72126,paid,LEDGER-0037,INV-72126
L00779,2026-05-11,4038.66,Oakstone Realty Holdings,INV-84899,paid,LEDGER-0038,INV-84899
L00212,2026-07-04,9063.34,Everline Manufacturing,INV-60394,paid,LEDGER-0039,INV-60394
L00399,2026-07-01,40292.15,Junction Analytics,INV-55652,paid,LEDGER-0040,INV-55652
L00837,2026-07-20,1171.87,Westgate Facilities Mgmt,INV-80028,paid,LEDGER-0041,INV-80028
L00164,2026-07-18,3287.96,Oakstone Realty Holdings,INV-39015,paid,LEDGER-0042,INV-39015
L00290,2026-07-15,2268.3,Redstone Contracting,INV-54089,paid,LEDGER-0043,INV-54089
L00576,2026-05-26,27398.26,Harbor State Insurance,INV-44471,paid,LEDGER-0044,INV-44471
L00109,2026-05-17,5636.68,Solace Health Systems,INV-45954,paid,LEDGER-0045,INV-45954
L00055,2026-07-19,2091.55,Pinehill Distributors,INV-30257,paid,LEDGER-0046,INV-30257
L00564,2026-05-26,5210.11,Cobalt Freight Lines,INV-58903,paid,LEDGER-0047,INV-58903
L00543,2026-07-27,354.96,Oakstone Realty Holdings,INV-11166,paid,LEDGER-0048,INV-11166
L00295,2026-06-26,64.21,Pinehill Distributors,INV-51116,paid,LEDGER-0049,INV-51116
L00143,2026-07-28,16926.03,Junction Analytics,INV-62098,paid,LEDGER-0050,INV-62098
L00278,2026-06-04,281.74,Yellowbrick Media,INV-68929,paid,LEDGER-0051,INV-68929
L00314,2026-05-23,381.48,Aurora Textiles Ltd,INV-90079,paid,LEDGER-0052,INV-90079
L00638,2026-07-14,32825.72,Harbor State Insurance,INV-15965,paid,LEDGER-0053,INV-15965
L00377,2026-06-04,523.38,Yellowbrick Media,INV-23399,paid,LEDGER-0054,INV-23399
L00187,2026-06-24,23486.39,Marrow Fitness Studios,INV-16743,paid,LEDGER-0055,INV-16743
L00419,2026-07-18,20778.39,Northfield Packaging,INV-92938,paid,LEDGER-0056,INV-92938
L00992,2026-07-13,131.27,Marrow Fitness Studios,INV-75431,open,LEDGER-0057,INV-75431
L00217,2026-05-09,735.64,Vanterra Chemicals,INV-53213,paid,LEDGER-0058,INV-53213
L00973,2026-05-04,4865.5,Prairie Wind Energy,INV-25544,paid,LEDGER-0059,INV-25544
L00935,2026-06-16,2145.16,Delta Freight Partners,INV-32972,paid,LEDGER-0060,INV-32972
L00917,2026-05-10,129.15,Lakeside Property Mgmt,INV-40841,paid,LEDGER-0061,INV-40841
L00831,2026-07-21,30218.7,Driftwood Café Group,INV-36370,paid,LEDGER-0062,INV-36370
L00160,2026-06-13,4211.1,Kestrel Marketing Group,INV-25095,paid,LEDGER-0063,INV-25095
L00809,2026-06-20,99.19,Kingfisher Cable Co,INV-15144,paid,LEDGER-0064,INV-15144
L00890,2026-07-16,328.73,Bluepeak Logistics,INV-93634,paid,LEDGER-0065,INV-93634
L00489,2026-05-30,28824.45,Riverbend Hardware,INV-30922,paid,LEDGER-0066,INV-30922
L00272,2026-05-06,32231.25,Kestrel Marketing Group,INV-13718,paid,LEDGER-0067,INV-13718
L00673,2026-07-16,4402.86,Prairie Wind Energy,INV-28705,paid,LEDGER-0068,INV-28705
L00527,2026-07-12,285.15,Orchard Grove Bakery,INV-87061,paid,LEDGER-0069,INV-87061
L00313,2026-06-02,37900.37,Meridian Software Inc,INV-34405,paid,LEDGER-0070,INV-34405
L00345,2026-05-12,855.82,Northfield Packaging,INV-80206,paid,LEDGER-0071,INV-80206
L00925,2026-05-20,45132.02,Pinehill Distributors,INV-85196,paid,LEDGER-0072,INV-85196
L00704,2026-06-30,353.16,Cobalt Freight Lines,INV-56338,paid,LEDGER-0073,INV-56338
L00537,2026-05-08,445.7,Kingfisher Cable Co,INV-42701,paid,LEDGER-0074,INV-42701
L00888,2026-05-02,13096.25,Kingfisher Cable Co,INV-98185,paid,LEDGER-0075,INV-98185
L00083,2026-07-08,1843.76,Aurora Textiles Ltd,INV-81582,paid,LEDGER-0076,INV-81582
L00746,2026-05-31,449.38,Yellowbrick Media,INV-52534,paid,LEDGER-0077,INV-52534
L00040,2026-05-21,27628.27,Umbra Digital Studio,INV-17455,paid,LEDGER-0078,INV-17455
L00879,2026-07-18,1070.7,Solace Health Systems,INV-46827,paid,LEDGER-0079,INV-46827
L00957,2026-05-08,32142.73,Jasper Metals Corp,INV-97394,paid,LEDGER-0080,INV-97394
L00549,2026-06-08,36999.22,Umbra Digital Studio,INV-34688,paid,LEDGER-0081,INV-34688
L00082,2026-06-18,36298.53,Zenith Industrial Supply,INV-72518,paid,LEDGER-0082,INV-72518
L00416,2026-07-09,1013.93,Jasper Metals Corp,INV-15453,paid,LEDGER-0083,INV-15453
L00984,2026-07-15,2395.28,Nightshade Security,INV-12914,open,LEDGER-0084,INV-12914
L00361,2026-05-14,57.71,Solace Health Systems,INV-22624,paid,LEDGER-0085,INV-22624
L00776,2026-07-23,39667.55,Driftwood Café Group,INV-93084,paid,LEDGER-0086,INV-93084
L00944,2026-05-03,249.74,Driftwood Café Group,INV-40451,paid,LEDGER-0087,INV-40451
L00645,2026-05-29,457.53,Driftwood Café Group,INV-90856,paid,LEDGER-0088,INV-90856
L00816,2026-07-24,2212.73,Kestrel Marketing Group,INV-29672,paid,LEDGER-0089,INV-29672
L00381,2026-06-04,2213.29,Kingfisher Cable Co,INV-74634,paid,LEDGER-0090,INV-74634
L00274,2026-06-07,45004.86,Driftwood Café Group,INV-94136,paid,LEDGER-0091,INV-94136
L00930,2026-06-28,366.49,Kestrel Marketing Group,INV-70786,paid,LEDGER-0092,INV-70786
L00797,2026-06-12,3078.04,Oakstone Realty Holdings,INV-68873,paid,LEDGER-0093,INV-68873
L00087,2026-06-11,2577.64,Emberline Foods,INV-37742,paid,LEDGER-0094,INV-37742
L00967,2026-06-15,21252.36,Ironwood Materials,INV-16385,paid,LEDGER-0095,INV-16385
L00193,2026-05-12,345.81,Nightshade Security,INV-79531,paid,LEDGER-0096,INV-79531
L00742,2026-06-18,1317.22,Everline Manufacturing,INV-25985,paid,LEDGER-0097,INV-25985
L00110,2026-07-21,488.43,Cedar & Vine Supply Co,INV-74340,paid,LEDGER-0098,INV-74340
L00519,2026-05-30,29365.21,Granite Point Consulting,INV-82561,paid,LEDGER-0099,INV-82561
L00153,2026-07-29,2216.14,Hollow Creek Farms,INV-48696,paid,LEDGER-0100,INV-48696
L00389,2026-06-29,6211.22,Lakeside Property Mgmt,INV-37479,paid,LEDGER-0101,INV-37479
L00633,2026-05-28,14485.17,Lakeside Property Mgmt,INV-99837,paid,LEDGER-0102,INV-99837
L00770,2026-05-01,3180.93,Cedar & Vine Supply Co,INV-39083,paid,LEDGER-0103,INV-39083
L00515,2026-06-30,93.64,Meridian Software Inc,INV-25139,paid,LEDGER-0104,INV-25139
L00631,2026-06-27,21873.11,Bluepeak Logistics,INV-73806,paid,LEDGER-0105,INV-73806
L00078,2026-07-06,3883.0,Hollow Creek Farms,INV-73517,paid,LEDGER-0106,INV-73517
L00994,2026-07-20,47058.62,Redstone Contracting,INV-17848,open,LEDGER-0107,INV-17848
L00792,2026-07-04,456.74,Granite Point Consulting,INV-70029,paid,LEDGER-0108,INV-70029
L00786,2026-05-02,4670.28,Pinehill Distributors,INV-24585,paid,LEDGER-0109,INV-24585
L00705,2026-05-25,47620.31,Northfield Packaging,INV-36170,paid,LEDGER-0110,INV-36170
L00292,2026-07-28,993.22,Yellowbrick Media,INV-92478,paid,LEDGER-0111,INV-92478
L00384,2026-06-18,22806.14,Granite Point Consulting,INV-53193,paid,LEDGER-0112,INV-53193
L00509,2026-05-10,21895.6,Granite Point Consulting,INV-81702,paid,LEDGER-0113,INV-81702
L00865,2026-06-06,503.79,Marrow Fitness Studios,INV-14087,paid,LEDGER-0114,INV-14087
L00503,2026-05-22,3854.04,Ivy & Oak Print Shop,INV-93386,paid,LEDGER-0115,INV-93386
L00604,2026-05-18,34630.55,Harbor State Insurance,INV-75382,paid,LEDGER-0116,INV-75382
L00284,2026-06-16,1690.13,Emberline Foods,INV-15930,paid,LEDGER-0117,INV-15930
L00507,2026-07-23,26577.02,Westgate Facilities Mgmt,INV-39567,paid,LEDGER-0118,INV-39567
L00368,2026-05-05,29436.38,Everline Manufacturing,INV-33508,paid,LEDGER-0119,INV-33508
L00370,2026-07-26,1582.12,Trailmark Equipment Rental,INV-80852,paid,LEDGER-0120,INV-80852
L00581,2026-06-07,258.92,Quorum Legal Advisors,INV-57214,paid,LEDGER-0121,INV-57214
L00956,2026-07-08,401.58,Oakstone Realty Holdings,INV-68387,paid,LEDGER-0122,INV-68387
L00911,2026-07-15,9011.36,Fenwick Office Solutions,INV-47189,paid,LEDGER-0123,INV-47189
L00250,2026-06-04,27388.55,Vanterra Chemicals,INV-20828,paid,LEDGER-0124,INV-20828
L00258,2026-06-05,22911.53,Everline Manufacturing,INV-42717,paid,LEDGER-0125,INV-42717
L00720,2026-06-06,139.53,Prairie Wind Energy,INV-52610,paid,LEDGER-0126,INV-52610
L00441,2026-07-22,1915.27,Westgate Facilities Mgmt,INV-21042,paid,LEDGER-0127,INV-21042
L00847,2026-07-13,11370.06,Lakeside Property Mgmt,INV-42089,paid,LEDGER-0128,INV-42089
L00934,2026-07-26,46950.95,Fenwick Office Solutions,INV-57708,paid,LEDGER-0129,INV-57708
L00965,2026-06-03,2127.92,Everline Manufacturing,INV-92312,paid,LEDGER-0130,INV-92312
L00828,2026-06-15,16684.7,Solace Health Systems,INV-27001,paid,LEDGER-0131,INV-27001
L00789,2026-06-06,457.72,Orchard Grove Bakery,INV-90997,paid,LEDGER-0132,INV-90997
L00355,2026-07-09,12616.96,Glacier Point Bank,INV-74004,paid,LEDGER-0133,INV-74004
L00050,2026-06-02,3354.07,Vanterra Chemicals,INV-16658,paid,LEDGER-0134,INV-16658
L00858,2026-07-13,295.04,Vanterra Chemicals,INV-73783,paid,LEDGER-0135,INV-73783
L00993,2026-07-21,4207.59,Northfield Packaging,INV-79824,open,LEDGER-0136,INV-79824
L00335,2026-05-09,394.72,Redstone Contracting,INV-23224,paid,LEDGER-0137,INV-23224
L00755,2026-07-19,1334.9,Jasper Metals Corp,INV-52034,paid,LEDGER-0138,INV-52034
L00760,2026-05-02,165.17,Orchard Grove Bakery,INV-95950,paid,LEDGER-0139,INV-95950
L00818,2026-05-02,14128.33,Lumen Energy Services,INV-70115,paid,LEDGER-0140,INV-70115
L00388,2026-05-26,10124.95,Riverbend Hardware,INV-87624,paid,LEDGER-0141,INV-87624
L00972,2026-06-09,1090.54,Everline Manufacturing,INV-57522,paid,LEDGER-0142,INV-57522
L00588,2026-07-23,2350.78,Ivy & Oak Print Shop,INV-51187,paid,LEDGER-0143,INV-51187
L00932,2026-07-07,818.14,Aurora Textiles Ltd,INV-14287,paid,LEDGER-0144,INV-14287
L00448,2026-06-06,40518.05,Northfield Packaging,INV-92388,paid,LEDGER-0145,INV-92388
L00357,2026-05-18,3506.97,Everline Manufacturing,INV-92667,paid,LEDGER-0146,INV-92667
L00872,2026-07-30,234.88,Riverbend Hardware,INV-58310,paid,LEDGER-0147,INV-58310
L00459,2026-06-30,51.16,Jasper Metals Corp,INV-57707,paid,LEDGER-0148,INV-57707
L00379,2026-06-19,2993.99,Bluepeak Logistics,INV-11617,paid,LEDGER-0149,INV-11617
L00675,2026-06-19,3184.4,Vanterra Chemicals,INV-27329,paid,LEDGER-0150,INV-27329
L00765,2026-07-26,974.81,Marrow Fitness Studios,INV-97194,paid,LEDGER-0151,INV-97194
L00562,2026-07-13,52.12,Delta Freight Partners,INV-30766,paid,LEDGER-0152,INV-30766
L00449,2026-07-08,23102.48,Jasper Metals Corp,INV-80471,paid,LEDGER-0153,INV-80471
L00808,2026-07-30,31721.26,Cobalt Freight Lines,INV-15047,paid,LEDGER-0154,INV-15047
L00938,2026-06-05,4540.7,Oakstone Realty Holdings,INV-17138,paid,LEDGER-0155,INV-17138
L00550,2026-06-21,7554.86,Junction Analytics,INV-96577,paid,LEDGER-0156,INV-96577
L00504,2026-06-27,3515.11,Fenwick Office Solutions,INV-11493,paid,LEDGER-0157,INV-11493
L00756,2026-07-27,22437.09,Everline Manufacturing,INV-82281,paid,LEDGER-0158,INV-82281
L00363,2026-05-29,30425.1,Fenwick Office Solutions,INV-49318,paid,LEDGER-0159,INV-49318
L00599,2026-05-01,372.16,Yellowbrick Media,INV-54742,paid,LEDGER-0160,INV-54742
L00445,2026-06-16,337.14,Ivy & Oak Print Shop,INV-51480,paid,LEDGER-0161,INV-51480
L00968,2026-07-16,281.24,Everline Manufacturing,INV-31906,paid,LEDGER-0162,INV-31906
L00205,2026-05-22,1896.24,Fenwick Office Solutions,INV-20011,paid,LEDGER-0163,INV-20011
L00769,2026-06-27,4667.66,Zenith Industrial Supply,INV-10025,paid,LEDGER-0164,INV-10025
L00596,2026-07-17,235.55,Cobalt Freight Lines,INV-91142,paid,LEDGER-0165,INV-91142
L00843,2026-05-06,256.72,Cedar & Vine Supply Co,INV-87894,paid,LEDGER-0166,INV-87894
L00906,2026-06-28,127.51,Aurora Textiles Ltd,INV-90114,paid,LEDGER-0167,INV-90114
L00751,2026-06-18,13683.44,Westgate Facilities Mgmt,INV-27659,paid,LEDGER-0168,INV-27659
L00396,2026-07-14,38608.39,Aurora Textiles Ltd,INV-85397,paid,LEDGER-0169,INV-85397
L00871,2026-05-31,2411.47,Westgate Facilities Mgmt,INV-75762,paid,LEDGER-0170,INV-75762
L00715,2026-05-20,13822.84,Pinehill Distributors,INV-11276,paid,LEDGER-0171,INV-11276
L00923,2026-07-06,2987.4,Kestrel Marketing Group,INV-74122,paid,LEDGER-0172,INV-74122
L00748,2026-05-21,359.78,Hollow Creek Farms,INV-21980,paid,LEDGER-0173,INV-21980
L00304,2026-06-04,46986.08,Northfield Packaging,INV-27992,paid,LEDGER-0174,INV-27992
L00159,2026-07-04,48717.03,Meridian Software Inc,INV-45720,paid,LEDGER-0175,INV-45720
L00597,2026-06-13,3030.5,Trailmark Equipment Rental,INV-57624,paid,LEDGER-0176,INV-57624
L00734,2026-06-17,40854.53,Emberline Foods,INV-63967,paid,LEDGER-0177,INV-63967
L00409,2026-06-23,2179.88,Trailmark Equipment Rental,INV-88174,paid,LEDGER-0178,INV-88174
L00528,2026-05-13,46621.77,Orchard Grove Bakery,INV-47498,paid,LEDGER-0179,INV-47498
L00294,2026-06-18,33306.14,Delta Freight Partners,INV-29369,paid,LEDGER-0180,INV-29369
L00235,2026-05-05,427.63,Granite Point Consulting,INV-47601,paid,LEDGER-0181,INV-47601
L00565,2026-07-26,451.4,Aurora Textiles Ltd,INV-10540,paid,LEDGER-0182,INV-10540
L00745,2026-07-21,2973.11,Cedar & Vine Supply Co,INV-36047,paid,LEDGER-0183,INV-36047
L00089,2026-05-29,2927.39,Hollow Creek Farms,INV-95215,paid,LEDGER-0184,INV-95215
L00868,2026-05-03,179.81,Junction Analytics,INV-28873,paid,LEDGER-0185,INV-28873
L00870,2026-06-27,3304.62,Prairie Wind Energy,INV-60425,paid,LEDGER-0186,INV-60425
L00693,2026-06-06,46884.13,Foxglove Design Co,INV-35525,paid,LEDGER-0187,INV-35525
L00620,2026-05-25,32152.41,Yellowbrick Media,INV-48558,paid,LEDGER-0188,INV-48558
L00511,2026-05-27,2453.9,Kestrel Marketing Group,INV-34901,paid,LEDGER-0189,INV-34901
L00213,2026-06-27,311.15,Glacier Point Bank,INV-84928,paid,LEDGER-0190,INV-84928
L00119,2026-07-15,16904.96,Glacier Point Bank,INV-96662,paid,LEDGER-0191,INV-96662
L00411,2026-06-27,2703.39,Lumen Energy Services,INV-91187,paid,LEDGER-0192,INV-91187
L00556,2026-06-12,1504.98,Fenwick Office Solutions,INV-58717,paid,LEDGER-0193,INV-58717
L00664,2026-07-06,219.5,Lumen Energy Services,INV-42975,paid,LEDGER-0194,INV-42975
L00085,2026-05-17,4091.64,Vanterra Chemicals,INV-91560,paid,LEDGER-0195,INV-91560
L00495,2026-06-13,50.31,Hollow Creek Farms,INV-33260,paid,LEDGER-0196,INV-33260
L00646,2026-07-10,137.45,Quorum Legal Advisors,INV-70458,paid,LEDGER-0197,INV-70458
L00303,2026-06-02,46580.43,Solace Health Systems,INV-72793,paid,LEDGER-0198,INV-72793
L00812,2026-07-29,13089.71,Foxglove Design Co,INV-81618,paid,LEDGER-0199,INV-81618
L00428,2026-05-28,4080.55,Westgate Facilities Mgmt,INV-74843,paid,LEDGER-0200,INV-74843
L00115,2026-06-09,2492.24,Zenith Industrial Supply,INV-84531,paid,LEDGER-0201,INV-84531
L00346,2026-05-10,73.19,Meridian Software Inc,INV-34662,paid,LEDGER-0202,INV-34662
L00896,2026-05-03,3071.05,Cedar & Vine Supply Co,INV-75234,paid,LEDGER-0203,INV-75234
L00375,2026-05-10,40912.48,Zenith Industrial Supply,INV-20752,paid,LEDGER-0204,INV-20752
L00477,2026-05-04,281.06,Cobalt Freight Lines,INV-63004,paid,LEDGER-0205,INV-63004
L00382,2026-05-10,2456.04,Junction Analytics,INV-57333,paid,LEDGER-0206,INV-57333
L00176,2026-06-03,405.49,Westgate Facilities Mgmt,INV-16868,paid,LEDGER-0207,INV-16868
L00358,2026-06-17,1179.63,Oakstone Realty Holdings,INV-17923,paid,LEDGER-0208,INV-17923
L00685,2026-06-22,325.35,Yellowbrick Media,INV-82365,paid,LEDGER-0209,INV-82365
L00052,2026-05-02,36755.04,Quorum Legal Advisors,INV-24663,paid,LEDGER-0210,INV-24663
L00933,2026-07-13,47574.3,Solace Health Systems,INV-37151,paid,LEDGER-0211,INV-37151
L00882,2026-07-03,492.83,Vanterra Chemicals,INV-64125,paid,LEDGER-0212,INV-64125
L00986,2026-05-22,2762.46,Northfield Packaging,INV-90586,open,LEDGER-0213,INV-90586
L00559,2026-05-18,288.43,Zenith Industrial Supply,INV-36253,paid,LEDGER-0214,INV-36253
L00529,2026-07-02,16886.15,Lakeside Property Mgmt,INV-84976,paid,LEDGER-0215,INV-84976
L00122,2026-07-04,1868.41,Harbor State Insurance,INV-80776,paid,LEDGER-0216,INV-80776
L00341,2026-07-25,20498.67,Emberline Foods,INV-59958,paid,LEDGER-0217,INV-59958
L00524,2026-05-19,14086.37,Emberline Foods,INV-87994,paid,LEDGER-0218,INV-87994
L00708,2026-06-05,19193.76,Cedar & Vine Supply Co,INV-33969,paid,LEDGER-0219,INV-33969
L00661,2026-06-16,35086.35,Everline Manufacturing,INV-60868,paid,LEDGER-0220,INV-60868
L00810,2026-06-20,224.33,Marrow Fitness Studios,INV-49918,paid,LEDGER-0221,INV-49918
L00224,2026-07-07,39689.36,Solace Health Systems,INV-14947,paid,LEDGER-0222,INV-14947
L00267,2026-07-21,44508.21,Glacier Point Bank,INV-87042,paid,LEDGER-0223,INV-87042
L00260,2026-07-02,32534.47,Quorum Legal Advisors,INV-36237,paid,LEDGER-0224,INV-36237
L00539,2026-06-17,228.62,Jasper Metals Corp,INV-74066,paid,LEDGER-0225,INV-74066
L00680,2026-07-29,31507.16,Hollow Creek Farms,INV-85513,paid,LEDGER-0226,INV-85513
L00953,2026-06-07,1990.76,Lakeside Property Mgmt,INV-85199,paid,LEDGER-0227,INV-85199
L00886,2026-07-18,3368.41,Granite Point Consulting,INV-95467,paid,LEDGER-0228,INV-95467
L00497,2026-07-15,2181.16,Yellowbrick Media,INV-23242,paid,LEDGER-0229,INV-23242
L00660,2026-07-02,381.16,Junction Analytics,INV-40375,paid,LEDGER-0230,INV-40375
L00413,2026-06-26,27127.66,Jasper Metals Corp,INV-74054,paid,LEDGER-0231,INV-74054
L00435,2026-07-29,317.16,Ironwood Materials,INV-55032,paid,LEDGER-0232,INV-55032
L00840,2026-06-26,186.04,Kingfisher Cable Co,INV-76321,paid,LEDGER-0233,INV-76321
L00958,2026-06-09,2177.74,Emberline Foods,INV-68402,paid,LEDGER-0234,INV-68402
L00437,2026-05-18,960.92,Fenwick Office Solutions,INV-60164,paid,LEDGER-0235,INV-60164
L00778,2026-07-16,3531.36,Oakstone Realty Holdings,INV-21807,paid,LEDGER-0236,INV-21807
L00233,2026-05-07,4480.83,Oakstone Realty Holdings,INV-61964,paid,LEDGER-0237,INV-61964
L00221,2026-07-27,42303.15,Vanterra Chemicals,INV-78995,paid,LEDGER-0238,INV-78995
L00694,2026-05-22,36430.24,Cedar & Vine Supply Co,INV-98345,paid,LEDGER-0239,INV-98345
L00469,2026-07-29,1541.63,Fenwick Office Solutions,INV-58823,paid,LEDGER-0240,INV-58823
L00723,2026-07-30,1526.98,Fenwick Office Solutions,INV-89349,paid,LEDGER-0241,INV-89349
L00133,2026-06-29,56.15,Marrow Fitness Studios,INV-25396,paid,LEDGER-0242,INV-25396
L00095,2026-06-14,412.49,Prairie Wind Energy,INV-79827,paid,LEDGER-0243,INV-79827
L00015,2026-06-21,24279.52,Marrow Fitness Studios,INV-57447,paid,LEDGER-0244,INV-57447
L00585,2026-05-08,10087.55,Driftwood Café Group,INV-30892,paid,LEDGER-0245,INV-30892
L00018,2026-05-15,47409.39,Kingfisher Cable Co,INV-99353,paid,LEDGER-0246,INV-99353
L00135,2026-07-05,22261.37,Hollow Creek Farms,INV-27892,paid,LEDGER-0247,INV-27892
L00846,2026-05-14,10150.72,Harbor State Insurance,INV-37076,paid,LEDGER-0248,INV-37076
L00830,2026-05-27,6079.41,Solace Health Systems,INV-90649,paid,LEDGER-0249,INV-90649
L00969,2026-07-14,21313.52,Trailmark Equipment Rental,INV-56088,paid,LEDGER-0250,INV-56088
L00053,2026-06-17,475.27,Everline Manufacturing,INV-86350,paid,LEDGER-0251,INV-86350
L00073,2026-07-29,30905.19,Everline Manufacturing,INV-60328,paid,LEDGER-0252,INV-60328
L00475,2026-07-27,188.74,Foxglove Design Co,INV-49874,paid,LEDGER-0253,INV-49874
L00247,2026-07-05,1397.61,Meridian Software Inc,INV-62196,paid,LEDGER-0254,INV-62196
L00498,2026-07-21,1114.03,Vanterra Chemicals,INV-73858,paid,LEDGER-0255,INV-73858
L00036,2026-07-01,4319.13,Fenwick Office Solutions,INV-38016,paid,LEDGER-0256,INV-38016
L00966,2026-05-21,3798.31,Harbor State Insurance,INV-86238,paid,LEDGER-0257,INV-86238
L00096,2026-06-23,347.68,Emberline Foods,INV-74251,paid,LEDGER-0258,INV-74251
L00014,2026-05-18,4615.46,Ivy & Oak Print Shop,INV-42325,paid,LEDGER-0259,INV-42325
L00444,2026-05-15,4072.0,Delta Freight Partners,INV-41599,paid,LEDGER-0260,INV-41599
L00796,2026-07-26,11176.73,Junction Analytics,INV-90274,paid,LEDGER-0261,INV-90274
L00091,2026-05-28,35125.65,Redstone Contracting,INV-70952,paid,LEDGER-0262,INV-70952
L00892,2026-06-05,3472.15,Quorum Legal Advisors,INV-65965,paid,LEDGER-0263,INV-65965
L00678,2026-05-01,45589.31,Harbor State Insurance,INV-98940,paid,LEDGER-0264,INV-98940
L00048,2026-05-18,350.54,Aurora Textiles Ltd,INV-44664,paid,LEDGER-0265,INV-44664
L00156,2026-07-24,35499.4,Oakstone Realty Holdings,INV-99241,paid,LEDGER-0266,INV-99241
L00440,2026-07-15,436.98,Foxglove Design Co,INV-60335,paid,LEDGER-0267,INV-60335
L00701,2026-07-27,3964.85,Zenith Industrial Supply,INV-86916,paid,LEDGER-0268,INV-86916
L00844,2026-05-03,9639.63,Fenwick Office Solutions,INV-85701,paid,LEDGER-0269,INV-85701
L00912,2026-05-31,3379.22,Ironwood Materials,INV-32878,paid,LEDGER-0270,INV-32878
L00305,2026-07-07,15910.61,Granite Point Consulting,INV-39579,paid,LEDGER-0271,INV-39579
L00903,2026-05-05,290.27,Ivy & Oak Print Shop,INV-54470,paid,LEDGER-0272,INV-54470
L00033,2026-06-01,77.28,Granite Point Consulting,INV-35112,paid,LEDGER-0273,INV-35112
L00277,2026-06-21,1936.92,Umbra Digital Studio,INV-27139,paid,LEDGER-0274,INV-27139
L00639,2026-06-08,18042.65,Everline Manufacturing,INV-89503,paid,LEDGER-0275,INV-89503
